feature,group,importance_mean,importance_std
RASTA-PLP4 (desvio),RASTA-PLP,-4.823926676317998e-05,0.0007688074023400326
RASTA-PLP6 (média),RASTA-PLP,-7.235890014474222e-05,0.000539870460337644
MFCC6 (desvio),MFCC,-7.235890014474592e-05,0.0006565681422487159
RASTA-PLP5 (média),RASTA-PLP,-9.647853352630816e-05,0.00048479863102367
ΔΔLFCC3 (média),LFCC,-0.00012059816690786669,0.00026966569916785554
ΔΔLFCC16 (média),LFCC,-0.0001205981669078889,0.0007492631243130187
ΔLFCC17 (média),LFCC,-0.00014471780028945113,0.00043415340086829776
ΔΔLFCC19 (média),LFCC,-0.00014471780028947704,0.0008014108888488063
ΔΔLFCC7 (média),LFCC,-0.0001688374336710319,0.0008496823422001195
ΔLFCC12 (desvio),LFCC,-0.00016883743367104297,0.0011769293679455696
ΔLFCC11 (desvio),LFCC,-0.00016883743367106517,0.0016360509292920062
RASTA-PLP8 (média),RASTA-PLP,-0.0001929570670525941,0.00041496986334021
ΔLFCC1 (desvio),LFCC,-0.0001929570670526237,0.0011042472882064186
LFCC1 (média),LFCC,-0.00021707670043419707,0.0015080076249243263
LFCC13 (desvio),LFCC,-0.00021707670043420447,0.001841483067691881
ΔLFCC18 (média),LFCC,-0.00024119633381574818,0.0005059376981042573
MFCC1 (média),MFCC,-0.000241196333815763,0.0013254830356038705
ΔLFCC7 (desvio),LFCC,-0.0002411963338157704,0.001186529076338523
ΔΔLFCC17 (desvio),LFCC,-0.00026531596719731043,0.00039559140055129866
RASTA-PLP7 (média),RASTA-PLP,-0.00026531596719732154,0.000544163732401267
ΔΔLFCC5 (média),LFCC,-0.00026531596719733266,0.0008032236278507714
LFCC11 (média),LFCC,-0.00026531596719734003,0.0013534961742979444
ΔLFCC18 (desvio),LFCC,-0.000289435600578906,0.0007612027900655665
RASTA-PLP12 (média),RASTA-PLP,-0.00031355523396046453,0.000517870490920975
ΔLFCC13 (desvio),LFCC,-0.00033767486734205635,0.0017796301732461925
MFCC5 (desvio),MFCC,-0.0003617945007236038,0.0004071862763177579
ΔΔLFCC4 (média),LFCC,-0.0003617945007236112,0.0005526502285281958
MFCC13 (desvio),MFCC,-0.0003617945007236149,0.0006404205522118495
LFCC3 (desvio),LFCC,-0.00043415340086833863,0.0009076163879511184
ZCR,Temporal,-0.00045827303424990086,0.0006601028549640169
